Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-April-2024,2918.95,2947.00,2886.75,2941.60,2935.059588492866895804,530975,20718,1558443265.00,48771,9.19,60.25,22.65
18-April-2024,2929.00,2971.50,2919.00,2928.15,2943.526920870723431560,205714,13515,605524697.00,95526,46.44,52.50,-0.85
16-April-2024,2909.95,2942.00,2902.10,2934.45,2925.689332195705880854,157052,11704,459485361.00,87675,55.83,39.90,24.50
15-April-2024,2908.65,2964.50,2893.15,2932.90,2934.272078545647206861,301990,23209,886120825.00,170635,56.50,71.35,24.25
12-April-2024,2955.00,2973.00,2925.70,2935.10,2947.834313251163806073,677948,29990,1998478377.00,184834,27.26,47.30,-19.90
10-April-2024,2949.95,2974.00,2934.55,2958.60,2954.214931094277630738,164355,9664,485539995.00,94527,57.51,39.45,8.65
9-April-2024,2975.00,2978.75,2925.00,2927.10,2949.193861362991166107,59883,6112,176606576.00,25840,43.15,53.75,-47.90
8-April-2024,2923.40,2980.50,2923.40,2971.00,2968.446560461480403256,148392,8242,440493722.00,98296,66.24,57.10,47.60
5-April-2024,2928.00,2941.50,2911.90,2919.95,2926.018909745149682828,431312,18136,1262027068.00,143477,33.27,29.60,-8.05
4-April-2024,2958.55,2958.55,2900.50,2926.45,2925.897322879816426044,104590,11700,306019601.00,37660,36.01,58.05,-32.10
3-April-2024,2966.90,2966.90,2938.00,2942.40,2953.585426681037534714,127109,8238,375427290.00,73468,57.80,28.90,-24.50
2-April-2024,2969.50,2987.90,2950.00,2971.30,2965.583303100611685298,118525,7370,351495761.00,57548,48.55,37.90,1.80
1-April-2024,2985.00,2988.50,2965.00,2969.50,2972.535562773865841163,229355,13392,681765894.00,164364,71.66,23.50,-15.50
28-March-2024,2994.35,3011.25,2959.00,2976.80,2992.714789124313520246,422263,19036,1263712725.00,117047,27.72,52.25,-17.55
27-March-2024,2899.65,2999.90,2897.90,2987.85,2978.105310758452311448,471025,30930,1402762054.00,255487,54.24,102.00,88.20
26-March-2024,2888.60,2905.25,2877.00,2884.15,2886.672583473272131078,943865,6807,2724629218.00,914823,96.92,28.25,-4.45
22-March-2024,2897.05,2920.00,2895.35,2909.90,2909.081691212550045867,562484,15427,1636311906.00,78114,13.89,24.65,12.85
21-March-2024,2891.40,2915.00,2889.65,2901.30,2903.229131805269097560,77091,5769,223812837.00,26566,34.46,25.35,9.90
20-March-2024,2851.05,2890.20,2848.05,2886.80,2873.738617189645926255,152906,10817,439411877.00,100666,65.84,42.15,35.75
19-March-2024,2865.60,2873.60,2835.00,2850.75,2847.348766828385566978,128206,10945,365047196.00,88047,68.68,38.60,-14.85
18-March-2024,2837.20,2883.00,2833.65,2878.35,2854.944498326617034355,146410,12317,417992424.00,66180,45.20,49.35,41.15
15-March-2024,2854.95,2866.45,2826.90,2837.25,2840.608394928295635617,396001,21991,1124883765.00,75672,19.11,39.55,-17.70
14-March-2024,2865.00,2897.35,2851.00,2865.25,2874.621359223300970873,162637,20571,467519794.00,64504,39.66,46.35,0.25
13-March-2024,2955.45,2965.95,2855.85,2864.70,2909.462682605633083904,97957,8660,285002236.00,43718,44.63,110.10,-90.75
12-March-2024,2932.00,2976.30,2932.00,2950.20,2958.248359281437125748,83500,7871,247013738.00,23642,28.31,44.30,18.20
11-March-2024,2984.70,2984.70,2927.35,2931.20,2955.097860861928360830,111587,10618,329750505.00,54522,48.86,57.35,-53.50
7-March-2024,3002.15,3005.90,2951.25,2958.10,2971.691630581937310748,387052,22348,1150199189.00,52841,13.65,54.65,-44.05
6-March-2024,2989.45,3019.00,2957.00,3005.95,2987.106243353541596604,110021,8033,328644416.00,42963,39.05,62.00,16.50
5-March-2024,3011.70,3011.70,2973.00,2998.30,2992.697256372659598466,70928,6149,212266031.00,24362,34.35,38.70,-13.40
4-March-2024,2981.00,3024.80,2975.05,3011.60,3003.934718695232304445,139795,9389,419935054.00,83191,59.51,49.75,30.60
2-March-2024,2980.70,3000.00,2975.00,2980.85,2989.584805701957999945,36619,9696,109475606.00,21933,59.90,25.00,0.15
1-March-2024,2916.70,2999.00,2916.70,2986.00,2973.195649578348551726,544407,33877,1618628524.00,148133,27.21,82.30,69.30
29-February-2024,2931.05,2958.00,2909.55,2924.75,2933.130281324073689025,192376,11046,564263871.00,90108,46.84,48.45,-6.30
28-February-2024,2964.90,2982.00,2900.55,2909.00,2931.449675905056502883,64333,7090,188588952.00,23610,36.70,81.45,-55.90
27-February-2024,2968.80,2999.85,2956.00,2970.40,2976.457643821129417985,83211,5724,247674017.00,47670,57.29,43.85,1.60
26-February-2024,2989.75,2989.75,2964.55,2974.35,2974.721045163184420413,40874,4779,121588748.00,15006,36.71,25.20,-15.40
23-February-2024,2971.40,2996.15,2965.25,2986.35,2984.339062267898517766,653001,31433,1948776392.00,118582,18.16,30.90,14.95
22-February-2024,2937.95,2969.10,2916.00,2963.35,2937.578178431492448153,212597,12452,624520308.00,132693,62.42,53.10,25.40
21-February-2024,2943.85,2977.00,2916.15,2938.20,2950.667095401576326096,103405,11504,305113731.00,48255,46.67,60.85,-5.65
20-February-2024,2949.90,2949.90,2924.00,2940.75,2935.855281049506846691,104430,6247,306591367.00,72252,69.19,25.90,-9.15
19-February-2024,2921.35,2958.80,2907.55,2946.15,2934.313269008388348088,163441,12133,479587095.00,78402,47.97,51.25,24.80
16-February-2024,2945.05,2953.30,2917.35,2921.35,2926.681186007061670820,542931,20042,1588985943.00,76261,14.05,35.95,-23.70
15-February-2024,2963.40,2968.40,2932.90,2941.90,2946.123508506246870458,81881,14250,241231539.00,29413,35.92,35.50,-21.50
14-February-2024,2911.40,2966.60,2911.40,2962.60,2942.853080916329141776,122707,8937,361108673.00,74250,60.51,55.20,51.20
13-February-2024,2910.40,2957.80,2909.40,2928.95,2934.462991867501594911,322902,13850,947543969.00,245207,75.94,48.40,18.55
12-February-2024,2922.30,2922.35,2885.00,2902.95,2900.938399250030569406,147206,17705,427035538.00,87275,59.29,37.35,-19.35
9-February-2024,2905.00,2944.15,2902.60,2922.30,2923.983017123241287856,812171,30548,2374774211.00,121987,15.02,41.55,17.30
8-February-2024,2895.60,2919.75,2856.70,2902.95,2886.327226375582959868,98849,7477,285310560.00,33100,33.49,63.05,7.35
7-February-2024,2870.00,2898.00,2858.45,2883.40,2873.741809979033546325,320512,17141,921068735.00,194686,60.74,39.55,13.40
6-February-2024,2887.40,2887.40,2840.80,2856.80,2860.732431939242794205,115081,6943,329215949.00,50293,43.70,46.60,-30.60
5-February-2024,2921.20,2940.00,2864.00,2877.05,2911.268786307701917671,128072,8519,372852016.00,44011,34.36,76.00,-44.15
2-February-2024,2864.45,2949.90,2864.45,2914.75,2911.806905214328771063,653622,30556,1903221053.00,107676,16.47,85.45,50.30
1-February-2024,2871.20,2885.25,2836.70,2852.70,2858.016913247388812107,88274,10933,252288585.00,31217,35.36,48.55,-18.50
31-January-2024,2811.45,2869.45,2804.95,2853.20,2848.390850382690609361,108704,8366,309631479.00,35166,32.35,64.50,41.75
30-January-2024,2905.40,2917.95,2808.75,2814.85,2862.128469612458298719,303348,23247,868220947.00,154104,50.80,109.20,-90.55
29-January-2024,2713.20,2905.00,2713.20,2896.15,2837.836588385217549608,823950,65962,2338235457.00,539012,65.42,191.80,182.95
25-January-2024,2684.50,2725.00,2670.05,2710.35,2689.062295659891792801,2411115,25222,6483638437.00,1869909,77.55,54.95,25.85
24-January-2024,2660.00,2699.00,2649.00,2688.70,2664.282006584609299753,273061,9867,727511509.00,73230,26.82,50.00,28.70
23-January-2024,2732.15,2742.75,2645.00,2656.00,2683.774529067323577426,102297,8736,274542083.00,40375,39.47,97.75,-76.15
20-January-2024,2729.95,2765.05,2698.60,2713.20,2734.154685404396757828,171490,14801,468880187.00,86878,50.66,66.45,-16.75
19-January-2024,2753.00,2753.00,2716.85,2735.05,2732.508808360955431287,483007,23753,1319820882.00,64063,13.26,36.15,-17.95
18-January-2024,2700.00,2742.00,2700.00,2734.90,2724.864538123812758677,158982,9660,433204414.00,42448,26.70,42.00,34.90
17-January-2024,2729.85,2772.00,2711.00,2722.80,2740.407243099549464017,115862,8557,317509064.00,52496,45.31,61.00,-7.05
16-January-2024,2781.85,2792.50,2741.00,2747.65,2777.441366934540063977,153804,8546,427181592.00,83330,54.18,51.50,-34.20
15-January-2024,2746.90,2792.65,2732.00,2787.50,2766.695770042800693354,121727,10322,336781576.00,57781,47.47,60.65,40.60
12-January-2024,2718.40,2746.45,2691.55,2740.10,2735.488136968142112361,606506,30221,1659089968.00,104923,17.30,54.90,21.70
11-January-2024,2655.70,2724.95,2655.70,2718.40,2691.759522944842313223,344195,24161,926490169.00,185638,53.93,69.25,62.70
10-January-2024,2580.60,2658.95,2577.30,2649.95,2615.954762107506315488,458001,25020,1198109897.00,319204,69.70,81.65,69.35
9-January-2024,2597.35,2607.05,2576.25,2580.60,2597.966721738758883935,140422,6835,364811683.00,95610,68.09,30.80,-16.75
8-January-2024,2612.40,2632.00,2568.30,2586.10,2601.258842756082787625,87501,7032,227612750.00,33219,37.96,63.70,-26.30
5-January-2024,2600.15,2619.45,2597.95,2606.75,2605.657274201690600732,465515,24601,1212972546.00,99310,21.33,21.50,6.60
4-January-2024,2589.40,2609.75,2580.00,2597.40,2599.882922058751168626,162584,9815,422699365.00,103141,63.44,29.75,8.00
3-January-2024,2608.10,2634.00,2577.15,2582.95,2607.804848326992307048,107501,7371,280341629.00,43758,40.70,56.85,-25.15
2-January-2024,2587.65,2614.90,2573.50,2610.90,2592.670654166569976562,86186,8001,223451913.00,33574,38.96,41.40,23.25
1-January-2024,2581.05,2606.00,2573.55,2589.85,2587.308555461923981017,67641,6352,175008138.00,29008,42.89,32.45,8.80
